time,date,Source,News_Headlines
11.48 am,2009-04-08,CNBC-TV18,"Hold TCS, says R Shah"
12.00 pm,2009-04-09,CNBC-TV18,See signs of recovery in CY10: S Ramadorai 
8.24 am,2009-04-10,Business Line,Institutional investors up stake in top 3 IT cos 
8.30 am,2009-04-11,Business Line,"Deal conversions likely to improve this fiscal, says TCS "
4.30 pm,2009-04-12,Moneycontrol.com,"Sell TCS, target of Rs 474: Reliance Money"
11.57 am,2009-04-13,CNBC-TV18,TCS has resistance at Rs 515: Anu Jain
3.19 pm,2009-04-14,Moneycontrol.com,"Buy TCS, target of Rs 539: KRChoksey"
12.28 pm,2009-04-15,Moneycontrol.com,"Hold TCS, target of Rs 560: Reliance Money"
10.08 am,2009-04-16,CNBC-TV18,TCS may add 5% more: Sanjeev Prasad
5.05 pm,2009-04-17,Moneycontrol.com,"Buy TCS, target of Rs 523: Angel Broking"
4.57 pm,2009-04-18,CNBC-TV18,TCS could head upto RS 530: Gujral
2.43 pm,2009-04-19,Moneycontrol.com,Buy Tata Consultancy Services: Sharekhan
11.29 am,2009-04-20,CNBC-TV18,TCS has target of Rs 525-540: M Thacker
10.28 am,2009-04-21,Moneycontrol.com,"Accumulate TCS, target of Rs 500: Prabhudas Lilladher"
8.32 am,2009-04-22,CNBC-TV18,"Environment volatile, see pricing pressure in offshore: TCS"
9.00 pm,2009-04-23,Moneycontrol.com,TCS Q1 volume growth stands at 3.54%
8.24 pm,2009-04-24,CNBC-TV18,"TCS Q1 net sales up 0.5% to Rs 7,207 cr"
7.07 pm,2009-04-25,CNBC-TV18,"TCS beats street expectations, sees 3.54% volume growth"
6.01 pm,2009-04-26,CNBC-TV18,TCS Q1 net profit up 15.65% at Rs 1520 cr
7.21 am,2009-04-27,CNBC-TV18,TCS Q1 net profit seen down 2.2% to Rs 1285.6 cr
1.12 pm,2009-04-28,Moneycontrol.com,TCS Q1 PAT seen at Rs 1242 Cr: Religare
12.24 pm,2009-04-29,CNBC-TV18,TCS has target of Rs 550: B Shah
9.37 am,2009-04-30,Moneycontrol.com,TCS Q1 PAT seen at Rs 1274 cr: Motilal Oswal
4.21 pm,2009-05-01,Moneycontrol.com,TCS Jun qtr PAT seen at Rs 1220 cr: Angel Broking
3.53 pm,2009-05-02,Moneycontrol.com,TCS Jun atr PAT seen at Rs 1241 cr: Sharekhan
12.49 pm,2009-05-03,Moneycontrol.com,"TCS' Q2 PAT seen up 5% to Rs 1,595.5 cr: Angel"
11.50 am,2009-05-04,Moneycontrol.com,TCS Q2 PAT seen down 11% at Rs 1359 cr: KRChoksey
11.28 am,2009-05-05,CNBC-TV18,TCS bags multi-million-dollar deal with Singapore ministry
6.34 pm,2009-05-06,Forbes India,Forbes Spl: S Ramadorai takes trip down memory lane at TCS
2.33 pm,2009-05-07,CNBC-TV18,Salary hikes won't impact IT cos' margins: Edelweiss
12.16 pm,2009-05-08,Forbes India,Forbes India speaks to TCS' Ramadorai on his work and life
4.46 pm,2009-05-09,CNBC-TV18,"Above Rs 560, TCS can head up to Rs 650: Gujral"
11.34 am,2009-05-10,Moneycontrol.com,"Add TCS, target of Rs 615: IIFL"
8.28 am,2009-05-11,Business Line,Wipro eyes Rs 700-cr govt business
8.43 am,2009-05-12,Business Line,TCS eyes $700-m outsourcing deals in Latam
3.29 pm,2009-05-13,Moneycontrol.com,"Buy TCS, target of Rs 614: Motilal Oswal"
6.07 pm,2009-05-14,CNBC-TV18,TCS a portfolio stock: Betadpur
5.34 pm,2009-05-15,CNBC-TV18,Buy TCS around Rs 480-500: Gujral
9.25 pm,2009-05-16,CNBC-TV18,"BP awards deals to IBM, TCS, Accenture, Infosys, Wipro"
7.32 pm,2009-05-17,CNBC-TV18,TCS bags multi-million dollar BP deal
6.36 pm,2009-05-18,press release,BP selects TCS as strategic partner 
5.36 pm,2009-05-19,CNBC-TV18,"Hold Infosys, TCS: Betadpur"
10.13 pm,2009-05-20,CNBC-TV18,"Direct tax code needs to clear air on STPI, MAT: TCS"
12.52 pm,2009-05-21,Moneycontrol.com,TCS has target at Rs 486: Asit C. Mehta
3.21 pm,2009-05-22,CNBC-TV18,"Enter in TCS, Infosys, Wipro on dip: Gujral"
3.44 pm,2009-05-23,Moneycontrol.com,"Buy TCS, target of Rs 708: Angel Broking"
3.57 pm,2009-05-24,CNBC-TV18,TCS a good bet: Rajat Rajgarhia
2.46 pm,2009-05-25,Moneycontrol.com,Add Tata Consultancy Services: IIFL
11.36 am,2009-05-26,Moneycontrol.com,"TCS an outperformer, target of Rs 710: Karvy"
6.32 pm,2009-05-27,CNBC-TV18,"TCS Q2 net up 29%, says worst is over for telecom IT spends"
6.12 pm,2009-05-28,CNBC-TV18,"TCS Q2 net up 29%, declares 200% interim dividend"
5.49 pm,2009-05-29,CNBC-TV18,"TCS Q2 net profit up 6.8% to Rs 1,624 cr"
2.05 pm,2009-05-30,CNBC-TV18,TCS has target of Rs 725: Irani
1.52 pm,2009-05-31,CNBC-TV18,Exit TCS at Rs 615: Gujral
12.42 pm,2009-06-01,CNBC-TV18,"TCS Q2 revenues seen up 2% to $ 1,512 mn"
8.53 am,2009-06-02,Business Line,Tech M stays away from BSNL deal
8.46 am,2009-06-03,CNBC-TV18,TCS Q2 profit seen down 1% at Rs 1510.8 cr
1.56 pm,2009-06-04,CNBC-TV18,TCS a top pick: Yash Gadodia
1.49 pm,2009-06-05,CNBC-TV18,TCS has support at Rs 540: Gujral
2.10 pm,2009-06-06,Moneycontrol.com,TCS Q2 PAT seen up 0.9% at Rs 1534 cr: P Lilladher
8.38 am,2009-06-07,Business Line,Top 3 IT cos may grow slower than industry
3.24 pm,2009-06-08,Moneycontrol.com,TCS Q2 PAT seen down to Rs 1487 cr: Anand Rathi
4.10 pm,2009-06-09,CNBC-TV18,Baton passes: N Chandrasekaran takes over as TCS CEO
5.18 pm,2009-06-10,CNBC-TV18,"TCS' new growth mantra: Set audacious goal, achieve it"
1.28 pm,2009-06-11,CNBC-TV18,More steam left in TCS: Phani Sekhar
12.19 pm,2009-06-12,CNBC-TV18,Expect 2010 to be a good year for IT industry: TCS
4.27 pm,2009-06-13,Moneycontrol.com,"Bhambwani positive on Infosys, TCS"
10.28 am,2009-06-14,CNBC-TV18,TCS can touch Rs 785: Anu Jain
10.05 am,2009-06-15,CNBC-TV18,Buy Tata Consultancy Services: Gujral
12.27 pm,2009-06-16,Reuters,TCS sole bidder for UK pension project
12.49 pm,2009-06-17,Forbes India,Music helps Me in my Work: S Ramadorai
1.00 pm,2009-06-18,Reuters,Infosys to boost 4 business segments revenue
12.33 pm,2009-06-19,CNBC-TV18,"TCS, Wipro, Infy in fray for Goldman Sachs' $700m IT deal"
5.31 pm,2009-06-20,Reuters,TCS sees slower Dec qtr volume growth
10.16 am,2009-06-21,Reuters,Tata Consultancy Services chief exec set to take over
12.45 pm,2009-06-22,Moneycontrol.com,Global biggies look to India for fresh talent
11.40 am,2009-06-23,Moneycontrol.com,Buy TCS; target of Rs 750: Hem Securities
4.51 pm,2009-06-24,CNBC-TV18,Q2 earnings review: IT cos on road to recovery
4.49 pm,2009-06-25,Reuters,TCS Cardiff deal worth multi-millions: Source
4.31 pm,2009-06-26,CNBC-TV18,TCS has a target of Rs 715-720: Gujral
11.47 am,2009-06-27,CNBC-TV18,"Buy TCS, says Rajesh Baheti"
3.17 pm,2009-06-28,Moneycontrol.com,"Buy TCS, target of Rs 684: Motilal Oswal"
12.24 pm,2009-06-29,Moneycontrol.com,"Hold TCS, target of Rs 700: Reliance Money"
8.42 am,2009-06-30,Business Line,BSNL deal: HCL Info is lowest bidder for east zone
4.09 pm,2009-07-01,Moneycontrol.com,Buy Tata Consultancy Services: Sharekhan
10.04 am,2009-07-02,Moneycontrol.com,TCS Q3 PAT seen down 9% at Rs 1352 cr: Karvy
2.52 pm,2009-07-03,Moneycontrol.com,TCS Dec qtr PAT seen down by 2.7% at Rs 1579 cr
1.22 pm,2009-07-04,CNBC-TV18,See earnings upgrade in Infosys for FY11: IIFL
11.32 am,2009-07-05,Moneycontrol.com,Sell TCS; target of Rs 680: IndiaInfoline
3.12 pm,2009-07-06,Moneycontrol.com,TCS' Dec qtr PAT seen down 5.5% at Rs 1534 cr
12.55 pm,2009-07-07,CNBC-TV18,Exit TCS at Rs 875: Choksey
12.47 pm,2009-07-08,CNBC-TV18,Book profits in TCS at Rs 800: Sukhani
7.29 pm,2009-07-09,Reuters,"Tata Consultancy to add 30,000 staff in FY11"
3.14 pm,2009-07-10,CNBC-TV18,See signs of discretionary spending in H2?10: TCS
9.23 am,2009-07-11,CNBC-TV18,TCS has support at Rs 690-695: Gujral
11.15 am,2009-07-12,Reuters,Infosys picked for Karnataka IT project
12.42 pm,2009-07-13,Moneycontrol.com,Hold TCS; target of Rs 875: Bonanza
2.33 pm,2009-07-14,Reuters,HCL Tech lags profit forecast; sees jump in deal pipeline
9.09 am,2009-07-15,CNBC-TV18,"TCS shines in Q3, says it won't be able to scale up margins"
12.38 pm,2009-07-16,CNBC-TV18,TCS FY11 EPS seen at Rs 39: RBS Equities
12.09 pm,2009-07-17,Reuters,BofA-Merrill raises TCS rating to buy
9.00 pm,2009-07-18,Moneycontrol.com,"TCS seeing recovery, back to 'aggressive' hiring"
8.49 pm,2009-07-19,CNBC-TV18,'IT spends to gain momentum through 2010'
6.11 pm,2009-07-20,Reuters,"TCS Q3 net up 33%, beats forecast"
5.24 pm,2009-07-21,CNBC-TV18,TCS Q3 net profit up 12.32% at Rs 1824cr
1.48 pm,2009-07-22,CNBC-TV18,"Buy TCS for long term, says Sharmila Joshi"
1.37 pm,2009-07-23,CNBC-TV18,TCS can test Rs 825: Gujral
10.42 am,2009-07-24,CNBC-TV18,"TCS Q3 revenues seen up 0.4% to Rs 7,463.9 cr"
3.58 pm,2009-07-25,CNBC-TV18,TCS Q3 net profit seen up at Rs 1641.2 cr
9.43 am,2009-07-26,CNBC-TV18,"Buy TCS, says Sukhani"
5.41 pm,2009-07-27,Moneycontrol.com,"More upside likely in Infosys, TCS, Wipro: Parag Doctor"
9.12 am,2009-07-28,CNBC-TV18,TCS can test Rs 760: Gujral
4.13 pm,2009-07-29,Moneycontrol.com,"Buy Infosys, Wipro: Prabhudas Lilladher"
4.51 pm,2009-07-30,CNBC-TV18/Mint,"Book profits in TCS, Infosys stocks: Dhawan"
6.13 pm,2009-07-31,CNBC-TV18,"TCS, Infosys, Wipro can gain another 10%: Gujral"
1.41 pm,2009-08-01,CNBC-TV18,Largecap tech looks much better than oil stocks: Gujral
12.00 pm,2009-08-02,CNBC-TV18,"Expect growth momentum to continue, says TCS"
4.58 pm,2009-08-03,Moneycontrol.com,India Inc Q4 advance tax nos a mixed bag
12.25 pm,2009-08-04,Moneycontrol.com,TCS may see 6% upside from current level: Kedia
2.15 pm,2009-08-05,CNBC-TV18,TCS has target of Rs 799.50: Irani
9.57 am,2009-08-06,CNBC-TV18,TCS can test Rs 805-810: Anu Jain
2.52 pm,2009-08-07,CNBC-TV18,Keep TCS in portfolio: Irani
3.17 pm,2009-08-08,Reuters,Infosys says outsourcing deal pipeline improving
9.10 am,2009-08-09,CNBC-TV18,Infosys Technologies can test Rs 3000: Gujral
10.37 pm,2009-08-10,CNBC-TV18/Mint,Mint excl: $600m contract awarded to TCS may be revoked
9.49 am,2009-08-11,Reuters,Infosys plans wage hikes in April 
9.35 am,2009-08-12,Business Line,TCS bags ?600mn UK pension deal
4.14 pm,2009-08-13,CNBC-TV18,Sector wise Budget impact according to India Inc 
1.23 pm,2009-08-14,CNBC-TV18,Appoiting Nilekani to oversee tech thrust a good move: TCS
3.54 pm,2009-08-15,Reuters,Industry views: Company officials react to Budget
6.21 pm,2009-08-16,Moneycontrol.com,Rahul Mohindar upbeat on IT sector
5.39 pm,2009-08-17,CNBC-TV18,Budget '10 will extend tax sops on STPIs: NASSCOM
5.22 pm,2009-08-18,Reuters,"Tata, Actis to bid for $2 bn road projects"
10.35 am,2009-08-19,Reuters,Tata Group in $2bn road JV with Actis
12.51 pm,2009-08-20,Reuters,Tata Consultancy wins Rolls-Royce deal
12.00 pm,2009-08-21,Moneycontrol.com,TCS a market performer; target of Rs 880: Karvy
10.43 am,2009-08-22,Moneycontrol.com,IT space likely to outperform: Kumar
9.05 am,2009-08-23,CNBC-TV18,"Currency headwinds strong, 27% margin sustainable: TCS"
8.29 pm,2009-08-24,CNBC-TV18,"TCS Q4 US GAAP net at Rs 1931cr, bags 10 large deals"
8.23 pm,2009-08-25,CNBC-TV18,"TCS Q4 US GAAP revenues at Rs 7,737 cr"
6.50 pm,2009-08-26,CNBC-TV18,"TCS Q4 US GAAP net profit at Rs 1,931 cr"
11.35 am,2009-08-27,CNBC-TV18,"Hold TCS, says Bhambwani"
8.56 am,2009-08-28,CNBC-TV18,TCS Q4 net profit seen up 0.6% to Rs 1808.4 cr
3.49 pm,2009-08-29,CNBC-TV18,Irani overweight on IT space
5.39 pm,2009-08-30,CNBC-TV18,Rahul Mohindar positive on large-cap IT
1.34 pm,2009-08-31,CNBC-TV18,TCS has target of Rs 860: Mohindar
1.34 pm,2009-09-01,Moneycontrol.com,TCS Mar qtr PAT seen at Rs 1844.50 cr: Emkay
4.00 pm,2009-09-02,Reuters,IT firms to report rise in demand; eye on rupee
2.04 pm,2009-09-03,Reuters,Tata Sons raises 6 bln rupees via bonds 
3.05 pm,2009-09-04,Moneycontrol.com,"TCS Q4 PAT seen up 1.3% to Rs 1,821 cr: Angel"
3.20 pm,2009-09-05,Moneycontrol.com,TCS Q4 PAT seen up 3.6% to 1862 cr: Sharekhan
12.41 pm,2009-09-06,Moneycontrol.com,Bharti may outsource Africa ops to IT vendors: Sources
6.42 pm,2009-09-07,CNBC-TV18,"Irani bullish on Infosys, TCS"
2.14 pm,2009-09-08,Moneycontrol.com,TCS Jun qtr PAT seen down 7% at Rs 1803 cr
10.00 pm,2009-09-09,CNBC-TV18,Tata backs hefty pay at TCS 
2.35 pm,2009-09-10,Moneycontrol.com,TCS Jun qtr PAT seen down 4% at Rs 1851 cr
5.43 pm,2009-09-11,CNBC-TV18,TCS? margin likely to be under pressure in FY11: Ratan Tata
1.09 pm,2009-09-12,Moneycontrol.com,TCS Jun qtr PAT seen down 5% at Rs 1830 cr: Karvy
2.00 pm,2009-09-13,CNBC-TV18,"Hold TCS, says Radhika Gupta"
4.00 pm,2009-09-14,Moneycontrol.com,Buy TCS; target of Rs 860: Aditya Birla Money
6.48 pm,2009-09-15,Reuters,Europe not delaying client decisions: TCS
5.26 pm,2009-09-16,CNBC-TV18,TCS has support at Rs 700: Bhambwani
9.15 am,2009-09-17,CNBC-TV18,"Sell TCS, says Sukhani"
11.17 am,2009-09-18,CNBC-TV18,No IT budget cuts due to European crisis yet: TCS
5.53 pm,2009-09-19,CNBC-TV18,"Weakening euro, pound to impact rev lines: TCS"
4.59 pm,2009-09-20,Reuters,TCS sees no pricing increase for few quarters
1.27 pm,2009-09-21,CNBC-TV18,Mphasis has strong support at Rs 600: Gujral
11.54 am,2009-09-22,CNBC-TV18,Verizon US to launch bids for IT deal worth $600m: Sources
9.24 am,2009-09-23,CNBC-TV18,Keep Rs 785 stoploss in TCS: Thacker
8.58 am,2009-09-24,Reuters,Cognizant to hire aggressively this year: CEO
1.00 pm,2009-09-25,CNBC-TV18,Govt shells out IT deals worth Rs 1220cr for power reform
4.23 pm,2009-09-26,Moneycontrol.com,UIDAI invites bids for second project at Rs 145 crore
1.13 pm,2009-09-27,CNBC-TV18,"TCS, Infy good buys in medium to long term: Bandyopadhyay"
9.41 pm,2009-09-28,CNBC-TV18,"Infy misfires, TCS on target "
7.42 pm,2009-09-29,Moneycontrol.com,Buy TCS; tgt of Rs 985: PINC Research
7.30 pm,2009-09-30,Moneycontrol.com,Hold TCS: Way2Wealth
6.41 pm,2009-10-01,Moneycontrol.com,Buy TCS; tgt Rs 990: Prabhudas Lilladher
4.09 pm,2009-10-02,Moneycontrol.com,Accumulate TCS; target of Rs 890: Emkay
2.52 pm,2009-10-03,CNBC-TV18,"TCS will outperform, says Manish Sonthalia"
2.28 pm,2009-10-04,CNBC-TV18,"TCS, Infosys good for medium to long term: Mohindar"
1.23 pm,2009-10-05,Reuters,Tata Consultancy sees Europe rev share at 30-35%
1.01 pm,2009-10-06,Moneycontrol.com,TCS has target of Rs 948: Asit C. Mehta
1.00 pm,2009-10-07,Moneycontrol.com,TCS Q1 revenues seen up 4.43% to Rs 8079.6 cr
12.29 pm,2009-10-08,CNBC-TV18,TCS to move in line with IT sector: Gujral
11.00 am,2009-10-09,CNBC-TV18,Tough to repeat Q1 volume growth ahead: TCS
10.25 am,2009-10-10,CNBC-TV18,TCS may outperform Infy over 1-2 quarters: Raamdeo Agrawal
6.57 pm,2009-10-11,CNBC-TV18,Q1 was a quarter of outperformance: TCS
5.37 pm,2009-10-12,CNBC-TV18,TCS Q1 cons PAT at Rs 1906 cr; beats street estimates
1.33 pm,2009-10-13,CNBC-TV18,TCS a good bet: Radhika Gupta
4.23 pm,2009-10-14,Moneycontrol.com,TCS Q1 net profit seen down 7.6% to Rs 1784.39 cr
2.23 pm,2009-10-15,CNBC-TV18,Hold TCS: Kapadia
1.37 pm,2009-10-16,CNBC-TV18,Remain invested in TCS: SP Tulsian
9.37 am,2009-10-17,CNBC-TV18,TCS has resistance at Rs 880: Bhamre
4.09 pm,2009-10-18,CNBC-TV18,"Hold TCS, stop loss Rs 840: Kulkarni"
2.27 pm,2009-10-19,CNBC-TV18,TCS good bet for long term: Radhika Gupta
2.16 pm,2009-10-20,CNBC-TV18,"Prefer TCS, says Satish Betadpur"
8.59 am,2009-10-21,Moneycontrol.com,TCS explores options to increase hiring locals
9.34 am,2009-10-22,CNBC-TV18,Border Security Bill to have impact on biz: TCS
5.20 pm,2009-10-23,CNBC-TV18,TCS can touch Rs 910-920.: Mohindar
9.54 am,2009-10-24,Reuters,India protests discriminatory US immigration bill
2.43 pm,2009-10-25,Moneycontrol.com,Citigroup may hike IT budgets to $1.1bn for FY11: Sources
9.59 am,2009-10-26,CNBC-TV18,TCS can test Rs 950-970: Thacker
4.18 pm,2009-10-27,CNBC-TV18,"Buy TCS, says Salil Sharma"
2.42 pm,2009-10-28,CNBC-TV18,Expect 10% upside in TCS: Thacker
1.58 pm,2009-10-29,CNBC-TV18,TCS is a buying opportunity: Sukhani
1.37 pm,2009-10-30,CNBC-TV18,Prefer TCS to Infosys Technologies: Gupta
10.32 am,2009-10-31,Reuters,Tata Consultancy to double Latin America sales
12.47 pm,2009-11-01,Moneycontrol.com,TCS a market market performer; target Rs 910: Karvy
